Node Number =    6212
          1039.33044         12304.66992            12.81088
          1214.66968         12354.07812            12.91914
          1397.38232         12251.68164            12.68103
          1599.62317         12378.71777            12.95064
          1832.64246         12424.56836            12.97916
          2040.89746         12440.72266            13.00322
          2242.07080         12440.87695            13.00656
          2442.40283         12441.04199            13.00431
          2642.29224         12441.07129            13.00087
          2842.17407         12441.08203            13.00158
          3042.04272         12441.09668            12.99698
          3241.93457         12441.09277            13.00151
          3441.80151         12441.10449            13.00149
          3641.68872         12441.09961            13.02885
          3841.57617         12441.10840            13.00142
          4041.44946         12441.08594            13.00853
          4241.33008         12441.08594            13.00039
          4441.20898         12441.08496            12.99903
          4641.08838         12441.08496            13.00122
          4840.96729         12441.08496            13.00117
          5040.84619         12441.08496            13.00113
          5240.72559         12441.08496            13.00107
          5440.60449         12441.08496            13.00102
          5640.48389         12441.08496            13.00175
          5840.36279         12441.08496            13.02842
          6040.24170         12441.08496            13.00087
          6240.12061         12441.08496            13.00350
          6440.00000         12441.08496            13.00027
          6639.87891         12441.08496            13.00072
